,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
0,1,Báo cáo tài chính quý 3/ 2024,CÔNG TY CỔ PHẦN AAV GROUP, ,19/10/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính quý 3/ 2024,./crawl_table/AAV/Báo cáo tài chính quý 3_ 2024_19_10_2024 00_00_00
1,2,Báo cáo tài chính quý 3/ 2024 của công ty mẹ,CÔNG TY CỔ PHẦN AAV GROUP, ,19/10/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính quý 3/ 2024 của công ty mẹ,./crawl_table/AAV/Báo cáo tài chính quý 3_ 2024 của công ty mẹ_19_10_2024 00_00_00
2,3,Báo cáo tài chính bán niên 2024 của công ty mẹ,CÔNG TY CỔ PHẦN AAV GROUP, ,10/09/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính bán niên 2024 của công ty mẹ,./crawl_table/AAV/Báo cáo tài chính bán niên 2024 của công ty mẹ_10_09_2024 00_00_00
3,4,Báo cáo tài chính bán niên 2024,CÔNG TY CỔ PHẦN AAV GROUP, ,10/09/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính bán niên 2024,./crawl_table/AAV/Báo cáo tài chính bán niên 2024_10_09_2024 00_00_00
4,5,Báo cáo tài chính quý 2/ 2024 của công ty mẹ,CÔNG TY CỔ PHẦN AAV GROUP, ,29/07/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính quý 2/ 2024 của công ty mẹ,./crawl_table/AAV/Báo cáo tài chính quý 2_ 2024 của công ty mẹ_29_07_2024 00_00_00
5,6,Báo cáo tài chính quý 2/ 2024,CÔNG TY CỔ PHẦN AAV GROUP, ,29/07/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính quý 2/ 2024,./crawl_table/AAV/Báo cáo tài chính quý 2_ 2024_29_07_2024 00_00_00
6,7,Báo cáo tài chính quý 1/ 2024,CÔNG TY CỔ PHẦN AAV GROUP, ,26/04/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính quý 1/ 2024,./crawl_table/AAV/Báo cáo tài chính quý 1_ 2024_26_04_2024 00_00_00
7,8,Báo cáo tài chính quý 1/ 2024 của công ty mẹ,CÔNG TY CỔ PHẦN AAV GROUP, ,26/04/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính quý 1/ 2024 của công ty mẹ,./crawl_table/AAV/Báo cáo tài chính quý 1_ 2024 của công ty mẹ_26_04_2024 00_00_00
8,9,Báo cáo tài chính năm 2023 của công ty mẹ,CÔNG TY CỔ PHẦN AAV GROUP, ,30/03/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính năm 2023 của công ty mẹ,./crawl_table/AAV/Báo cáo tài chính năm 2023 của công ty mẹ_30_03_2024 00_00_00
9,10,Báo cáo tài chính năm 2023,CÔNG TY CỔ PHẦN AAV GROUP, ,30/03/2024 00:00:00,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính năm 2023,./crawl_table/AAV/Báo cáo tài chính năm 2023_30_03_2024 00_00_00
10,11,Báo cáo tài chính Hợp nhất - Quý,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Hợp nhất Quý 4 năm 2023,30/01/2024 16:28:19,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất - Quý,./crawl_table/AAV/BCTC Hợp nhất Quý 4 năm 2023_30_01_2024 16_28_19
11,12,Báo cáo tài chính Mẹ - Quý 4/ 2023,CÔNG TY CỔ PHẦN AAV GROUP,BCTC Quý 4 năm 2023,29/01/2024 16:33:47,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Quý 4/ 2023,./crawl_table/AAV/BCTC Quý 4 năm 2023_29_01_2024 16_33_47
12,13,Báo cáo tài chính hợp nhất quý 3/ năm 2023,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất quý 3 năm 2023,27/10/2023 12:06:12,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính hợp nhất quý 3/ năm 2023,./crawl_table/AAV/Báo cáo tài chính Hợp nhất quý 3 năm 2023_27_10_2023 12_06_12
13,14,Báo cáo tài chính Mẹ - Quý 3/ 2023,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính công ty Mẹ quý 3 năm 2023,27/10/2023 12:01:41,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Mẹ - Quý 3/ 2023,./crawl_table/AAV/Báo cáo tài chính công ty Mẹ quý 3 năm 2023_27_10_2023 12_01_41
14,15,Báo cáo tài chính hợp nhất bán niên năm 2023,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính Hợp nhất 2023 - Bán niên,28/08/2023 14:22:24,0800819038,CÔNG TY CỔ PHẦN AAV GROUP,Báo cáo tài chính hợp nhất bán niên năm 2023,./crawl_table/AAV/Báo cáo tài chính Hợp nhất 2023 - Bán niên_28_08_2023 14_22_24
