Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"5,340,280,055","71,580,545,225"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"3,517,185,901","35,221,228,308"
- Các khoản dự phòng,03,,"9,178,241,252",
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,"-229,539,184",
"- Lãi, lỗ từ hoạt động đầu tư",05,,"2,447,443,882","27,088,386,980"
- Chi phí lãi vay,06,,"2,477,052,761","27,144,364,761"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"1,467,683,280","16,103,452,527"
"- Tăng, giảm các khoản phải thu",09,,"6,619,959,097","7,234,348,744"
"- Tăng, giảm hàng tồn kho",10,,"-790,020,000",
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"2,820,126,604","34,697,298,676"
"- Tăng, giảm chi phí trả trước",12,,"1,351,970,428","1,310,578,365"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"2,482,166,811","31,254,384,759"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"5,305,050,617","-924,790,177"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"1,703,400,000",
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"8,067,893,462","10,270,297,877"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,,"10,197,111,180"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"32,452,423","55,977,781"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"32,452,423","10,141,133,399"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"1,536,804,051",
4.Tiền chi trả nợ gốc vay,34,,"5,295,368,248","47,529,917,526"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"4,367,079,490","47,356,553,256"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"8,125,643,686","94,886,470,782"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-545,049,821","-2,324,625,410"
Tiền và tương đương tiền đầu kỳ,60,,"9,561,387,589","9,501,632,172"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"9,016,337,768","7,177,006,762"
