Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"-1,103,062,544","755,476,644"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"767,619,565","882,045,964"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,0
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-191,260,293","-479,783,982"
- Chi phí lãi vay,06,,"215,894,445","8,899,244"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"-310,808,827","1,166,637,870"
"- Tăng, giảm các khoản phải thu",09,,"4,857,622,085","355,611,764"
"- Tăng, giảm hàng tồn kho",10,,"-2,104,047,394","1,288,592,598"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-184,889,237","-4,721,089,111"
"- Tăng, giảm chi phí trả trước",12,,"60,000,000","60,000,000"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-219,826,453","-8,899,244"
- Thuế thu nhập doanh nghiệp đã nộp,15,,0,"-1,718,235,595"
- Tiền thu khác từ hoạt động kinh doanh,16,,"25,000,000","145,000,000"
- Tiền chi khác cho hoạt động kinh doanh,17,,"-1,103,609,913","-56,500,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"1,019,440,261","-3,548,881,718"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-531,590,909","-408,821,179"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,"-5,000,000,000","-3,000,000,000"
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,"8,300,000,000"
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"196,331,526","845,114,861"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-5,335,259,383","5,736,293,682"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"2,306,700,000","4,984,778,302"
4.Tiền chi trả nợ gốc vay,34,,"-5,817,700,000","-2,500,000,000"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,"-5,225,591,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"-3,511,000,000","-2,740,812,698"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-7,826,819,122","-553,400,734"
Tiền và tương đương tiền đầu kỳ,60,,"26,258,747,855","13,793,393,220"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"18,431,928,733","13,239,992,486"
