Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"2,378,121,710,833","2,142,716,548,893"
I. Tiền và các khoản tương đương tiền,110,,"427,747,817,583","509,577,636,533"
1. Tiền,111,,"206,316,955,286","120,809,634,969"
2. Các khoản tương đương tiền,112,,"221,430,862,297","388,768,001,564"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"30,000,000,000","50,000,000,000"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"30,000,000,000","50,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"1,101,805,581,424","961,381,022,420"
1. Phải thu ngắn hạn của khách hàng,131,,"437,959,599,034","417,516,053,153"
2. Trả trước cho người bán ngắn hạn,132,,"400,771,559,209","325,870,456,358"
3. Phải thu nội bộ ngắn hạn,133,,,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"153,512,876,781","129,729,000,000"
6. Phải thu ngắn hạn khác,136,,"109,561,546,400","88,265,512,909"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"728,011,904,178","536,681,725,193"
1. Hàng tồn kho,141,,"728,011,904,178","536,681,725,193"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"90,556,407,648","85,076,164,747"
1. Chi phí trả trước ngắn hạn,151,,"26,066,052,313","18,897,599,281"
2. Thuế GTGT được khấu trừ,152,,"64,490,355,335","65,917,582,112"
3. Thuế và các khoản khác phải thu Nhà nước,153,,,"260,983,354"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"2,408,691,768,768","2,433,440,579,906"
I. Các khoản phải thu dài hạn,210,,0,0
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,0,0
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"2,296,621,660,253","2,299,486,571,152"
1. Tài sản cố định hữu hình,221,,"2,209,797,992,723","2,202,974,097,676"
- Nguyên giá,222,,"2,771,887,662,594","2,707,435,817,410"
- Giá trị hao mòn lũy kế,223,,"-562,089,669,871","-504,461,719,734"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"86,823,667,530","96,512,473,476"
- Nguyên giá,228,,"94,500,558,865","103,445,820,433"
- Giá trị hao mòn lũy kế,229,,"-7,676,891,335","-6,933,346,957"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"67,774,263,476","98,121,103,897"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"67,774,263,476","98,121,103,897"
V. Đầu tư tài chính dài hạn,250,,0,0
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"44,295,845,039","35,832,904,857"
1. Chi phí trả trước dài hạn,261,,"43,774,047,582","35,612,756,095"
2. Tài sản thuế thu nhập hoãn lại,262,,"521,797,457","220,148,762"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"4,786,813,479,601","4,576,157,128,799"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"3,273,870,677,890","2,951,186,840,177"
I. Nợ ngắn hạn,310,,"2,135,393,276,192","1,990,803,708,402"
1. Phải trả người bán ngắn hạn,311,,"418,723,375,473","519,298,194,029"
2. Người mua trả tiền trước ngắn hạn,312,,"27,243,556,954","17,127,077,695"
3. Thuế và các khoản phải nộp nhà nước,313,,"15,596,912,890","14,232,960,650"
4. Phải trả người lao động,314,,"9,557,853,416","13,308,406,810"
5. Chi phí phải trả ngắn hạn,315,,"146,758,356","6,422,195,946"
6. Phải trả nội bộ ngắn hạn,316,,,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"6,736,974,756","2,702,175,863"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"1,646,054,232,499","1,417,686,392,234"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"11,333,611,848","26,305,175"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"1,138,477,401,698","960,383,131,775"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,0,0
8. Vay và nợ thuê tài chính dài hạn,338,,"1,138,477,401,698","959,926,578,352"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,"456,553,423"
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"1,512,942,801,711","1,624,970,288,622"
I. Vốn chủ sở hữu,410,,"1,512,942,801,711","1,624,970,288,622"
1. Vốn góp của chủ sở hữu,411,,"835,999,880,000","835,999,880,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"835,999,880,000","835,999,880,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"198,023,767,329","198,063,767,329"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,,"158,818,819"
8. Quỹ đầu tư phát triển,418,,"58,084,583,163","45,683,661,717"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,"13,177,404,323","13,177,404,323"
11. Lợi nhuận sau thuế chưa phân phối,421,,"147,513,217,577","283,769,575,300"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"98,274,995,216","90,051,907,554"
- LNST chưa phân phối kỳ này,421b,,"49,238,222,361","193,717,667,746"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,"260,143,949,319","248,117,181,134"
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"4,786,813,479,601","4,576,157,128,799"
