Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"174,016,585,714","173,748,814,806"
I. Tiền và các khoản tương đương tiền,110,,"51,706,572,075","22,888,984,646"
1. Tiền,111,,"31,706,572,075","22,888,984,646"
2. Các khoản tương đương tiền,112,,"20,000,000,000",0
II. Các khoản đầu tư tài chính ngắn hạn,120,,"39,920","5,000,039,920"
1. Chứng khoán kinh doanh,121,,"39,920","39,920"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,0,"5,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"10,885,566,911","13,844,480,998"
1. Phải thu ngắn hạn của khách hàng,131,,"7,114,792,191","12,105,203,320"
2. Trả trước cho người bán ngắn hạn,132,,"121,681,120","97,864,000"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"5,133,023,600","3,125,343,678"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-1,483,930,000","-1,483,930,000"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"106,907,086,958","127,268,351,742"
1. Hàng tồn kho,141,,"106,907,086,958","127,268,351,742"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"4,517,319,850","4,746,957,500"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"4,342,966,779","4,572,604,429"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"174,353,071","174,353,071"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"37,480,258,917","39,108,508,899"
I. Các khoản phải thu dài hạn,210,,0,0
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,0,0
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"22,196,952,417","23,645,202,399"
1. Tài sản cố định hữu hình,221,,"3,970,286,388","4,941,715,290"
- Nguyên giá,222,,"92,260,547,390","92,155,547,390"
- Giá trị hao mòn lũy kế,223,,"-88,290,261,002","-87,213,832,100"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"18,226,666,029","18,703,487,109"
- Nguyên giá,228,,"27,837,973,495","27,837,973,495"
- Giá trị hao mòn lũy kế,229,,"-9,611,307,466","-9,134,486,386"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,0,0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,0,0
V. Đầu tư tài chính dài hạn,250,,"14,823,306,500","14,823,306,500"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"10,688,386,500","10,688,386,500"
3. Đầu tư góp vốn vào đơn vị khác,253,,"4,134,920,000","4,134,920,000"
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"460,000,000","640,000,000"
1. Chi phí trả trước dài hạn,261,,"460,000,000","640,000,000"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"211,496,844,631","212,857,323,705"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"13,821,910,724","10,221,544,787"
I. Nợ ngắn hạn,310,,"12,619,128,893","9,148,047,007"
1. Phải trả người bán ngắn hạn,311,,"8,282,025,048","5,888,061,728"
2. Người mua trả tiền trước ngắn hạn,312,,"1,920,958,800","365,202,600"
3. Thuế và các khoản phải nộp nhà nước,313,,"820,200","3,722,640"
4. Phải trả người lao động,314,,"880,678,993",0
5. Chi phí phải trả ngắn hạn,315,,0,0
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"136,646,056","126,875,816"
10. Vay và nợ thuê tài chính ngắn hạn,320,,0,0
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"1,397,999,796","2,764,184,223"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
