Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"1,649,154,414,317","1,838,588,503,772"
I. Tiền và các khoản tương đương tiền,110,,"182,876,282,210","313,908,471,337"
1. Tiền,111,,"179,871,939,024","209,009,566,994"
2. Các khoản tương đương tiền,112,,"3,004,343,186","104,898,904,343"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"39,790,452,574","32,036,245,974"
1. Chứng khoán kinh doanh,121,,"13,018,155,110","32,002,408,426"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,,"-6,738,459,916"
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"26,772,297,464","6,772,297,464"
III. Các khoản phải thu ngắn hạn,130,,"841,990,681,486","526,116,701,904"
1. Phải thu ngắn hạn của khách hàng,131,,"415,474,612,933","231,167,717,771"
2. Trả trước cho người bán ngắn hạn,132,,"122,815,304,250","50,040,606,728"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"303,700,764,303","244,908,377,405"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"559,946,307,364","941,872,675,488"
1. Hàng tồn kho,141,,"559,946,307,364","941,872,675,488"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"24,550,690,683","24,654,409,069"
1. Chi phí trả trước ngắn hạn,151,,"6,485,308,833",
2. Thuế GTGT được khấu trừ,152,,"14,439,535,020","22,374,907,402"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"3,625,846,830","2,279,501,667"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"72,851,220,345","78,052,085,711"
I. Các khoản phải thu dài hạn,210,,0,0
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,0,0
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"71,522,257,976","74,823,927,274"
1. Tài sản cố định hữu hình,221,,"71,439,187,685","74,691,014,794"
- Nguyên giá,222,,"108,362,144,554","108,910,174,591"
- Giá trị hao mòn lũy kế,223,,"-36,922,956,869","-34,219,159,797"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"83,070,291","132,912,480"
- Nguyên giá,228,,"863,931,250","863,931,250"
- Giá trị hao mòn lũy kế,229,,"-780,860,959","-731,018,770"
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,0,0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,0,0
V. Đầu tư tài chính dài hạn,250,,0,"2,400,000,000"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,0,0
3. Đầu tư góp vốn vào đơn vị khác,253,,,"2,400,000,000"
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"1,328,962,369","828,158,437"
1. Chi phí trả trước dài hạn,261,,"1,328,962,369","828,158,437"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"1,722,005,634,662","1,916,640,589,483"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"1,374,868,705,113","1,567,484,133,558"
I. Nợ ngắn hạn,310,,"1,301,409,745,215","1,496,329,401,851"
1. Phải trả người bán ngắn hạn,311,,"399,882,326,099","423,901,808,404"
2. Người mua trả tiền trước ngắn hạn,312,,"373,736,976,230","614,632,808,337"
3. Thuế và các khoản phải nộp nhà nước,313,,"31,987,200","31,987,200"
4. Phải trả người lao động,314,,"811,689,688","1,213,744,627"
5. Chi phí phải trả ngắn hạn,315,,"868,997,376","9,532,728,859"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,"53,516,564,687","26,288,755,486"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"465,984,324,537","414,868,328,105"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"6,576,879,398","5,859,240,833"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"73,458,959,898","71,154,731,707"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,"30,346,617,500","27,836,500,000"
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,"27,163,836,636","27,044,631,228"
8. Vay và nợ thuê tài chính dài hạn,338,,0,0
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,"15,948,505,762","16,273,600,479"
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"347,136,929,549","349,156,455,925"
I. Vốn chủ sở hữu,410,,"347,136,929,549","349,156,455,925"
1. Vốn góp của chủ sở hữu,411,,"149,845,500,000","149,845,500,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"149,845,500,000","149,845,500,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"20,950,000,000","20,950,000,000"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,"-10,510,000","-10,510,000"
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,"73,657,688,034","73,657,688,034"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,0,0
11. Lợi nhuận sau thuế chưa phân phối,421,,"102,694,251,515","104,713,777,891"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"96,134,954,252","65,029,706,520"
- LNST chưa phân phối kỳ này,421b,,"6,559,297,263","39,684,071,371"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"1,722,005,634,662","1,916,640,589,483"
