Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"154,604,686,743","128,856,685,582"
I. Tiền và các khoản tương đương tiền,110,,"20,126,341,358","6,716,559,064"
1. Tiền,111,,"20,126,341,358","6,716,559,064"
2. Các khoản tương đương tiền,112,,0,0
II. Các khoản đầu tư tài chính ngắn hạn,120,,"1,000,000,000","1,000,000,000"
1. Chứng khoán kinh doanh,121,,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"1,000,000,000","1,000,000,000"
III. Các khoản phải thu ngắn hạn,130,,"97,671,856,716","97,753,776,413"
1. Phải thu ngắn hạn của khách hàng,131,,"19,409,090,558","25,910,654,731"
2. Trả trước cho người bán ngắn hạn,132,,"78,420,470,813","71,912,126,378"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,0,0
6. Phải thu ngắn hạn khác,136,,"93,852,428","1,622,552,387"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,"-251,557,083","-1,691,557,083"
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"29,774,229,762","19,341,659,872"
1. Hàng tồn kho,141,,"29,774,229,762","19,341,659,872"
2. Dự phòng giảm giá hàng tồn kho,149,,0,0
V.Tài sản ngắn hạn khác,150,,"6,032,258,907","4,044,690,233"
1. Chi phí trả trước ngắn hạn,151,,0,0
2. Thuế GTGT được khấu trừ,152,,"5,909,199,948","3,921,631,274"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"123,058,959","123,058,959"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"449,487,248,273","464,388,352,842"
I. Các khoản phải thu dài hạn,210,,"1,210,000,000","3,035,000,000"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,0,0
6. Phải thu dài hạn khác,216,,"1,210,000,000","3,035,000,000"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"330,015,499,048","339,337,808,008"
1. Tài sản cố định hữu hình,221,,"325,093,271,650","319,963,690,610"
- Nguyên giá,222,,"564,824,325,086","514,005,252,559"
- Giá trị hao mòn lũy kế,223,,"-239,731,053,436","-194,041,561,949"
2. Tài sản cố định thuê tài chính,224,,"4,157,227,398","18,609,117,398"
- Nguyên giá,225,,"4,757,227,389","23,759,747,389"
- Giá trị hao mòn lũy kế,226,,"-599,999,991","-5,150,629,991"
3. Tài sản cố định vô hình,227,,"765,000,000","765,000,000"
- Nguyên giá,228,,"765,000,000","765,000,000"
- Giá trị hao mòn lũy kế,229,,0,0
III. Bất động sản đầu tư,230,,0,0
- Nguyên giá,231,,0,0
- Giá trị hao mòn lũy kế,232,,0,0
IV. Tài sản dở dang dài hạn,240,,"26,034,889,475","42,625,703,895"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"26,034,889,475","42,625,703,895"
V. Đầu tư tài chính dài hạn,250,,"67,322,000,000","67,322,000,000"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"67,322,000,000","67,322,000,000"
3. Đầu tư góp vốn vào đơn vị khác,253,,0,0
4. Dự phòng đầu tư tài chính dài hạn,254,,0,0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,0,0
VI. Tài sản dài hạn khác,260,,"24,904,859,750","12,067,840,939"
1. Chi phí trả trước dài hạn,261,,"24,904,859,750","12,067,840,939"
2. Tài sản thuế thu nhập hoãn lại,262,,0,0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"604,091,935,016","593,245,038,424"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"190,855,836,688","203,497,051,793"
I. Nợ ngắn hạn,310,,"72,215,221,251","83,935,365,462"
1. Phải trả người bán ngắn hạn,311,,"12,361,514,096","16,431,881,603"
2. Người mua trả tiền trước ngắn hạn,312,,"206,888,029","401,750,203"
3. Thuế và các khoản phải nộp nhà nước,313,,"6,321,763,414","7,562,270,515"
4. Phải trả người lao động,314,,"319,062,940","278,900,266"
5. Chi phí phải trả ngắn hạn,315,,0,"85,402,975"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,0,0
9. Phải trả ngắn hạn khác,319,,,"1,000,000,000"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"52,904,899,942","58,074,067,070"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"101,092,830","101,092,830"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"118,640,615,437","119,561,686,331"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,0,0
7. Phải trả dài hạn khác,337,,"36,960,877,697","19,190,908,252"
8. Vay và nợ thuê tài chính dài hạn,338,,"81,679,737,740","100,370,778,079"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,0,0
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"413,236,098,328","389,747,986,631"
I. Vốn chủ sở hữu,410,,"413,236,098,328","389,747,986,631"
1. Vốn góp của chủ sở hữu,411,,"348,000,000,000","348,000,000,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"348,000,000,000","348,000,000,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,0,0
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,0,0
8. Quỹ đầu tư phát triển,418,,"439,500,000","439,500,000"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,"18,000,000","18,000,000"
11. Lợi nhuận sau thuế chưa phân phối,421,,"64,778,598,328","41,290,486,631"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"43,165,358,204","41,290,486,631"
- LNST chưa phân phối kỳ này,421b,,"21,613,240,124",
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,0,0
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"604,091,935,016","593,245,038,424"
