Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,01,,"3,930,303,877","13,866,412,550"
2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và BĐSĐT,02,,"7,857,479,642","6,283,474,642"
- Các khoản dự phòng,03,,0,0
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,0,"1,130,858,170"
"- Lãi, lỗ từ hoạt động đầu tư",05,,"-4,601,747","-327,819,541"
- Chi phí lãi vay,06,,"2,349,376,683","361,438,356"
- Các khoản điều chỉnh khác,07,,0,0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,"14,132,558,455","21,314,364,177"
"- Tăng, giảm các khoản phải thu",09,,"2,495,614,503","194,367,058"
"- Tăng, giảm hàng tồn kho",10,,"1,918,283,439","2,544,457,372"
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,"-39,622,652,426","-12,209,121,012"
"- Tăng, giảm chi phí trả trước",12,,"-3,145,913,852","2,045,228,866"
"- Tăng, giảm chứng khoán kinh doanh",13,,0,0
- Tiền lãi vay đã trả,14,,"-2,294,910,236","-367,835,617"
- Thuế thu nhập doanh nghiệp đã nộp,15,,"-1,358,919,457","-1,672,581,437"
- Tiền thu khác từ hoạt động kinh doanh,16,,0,0
- Tiền chi khác cho hoạt động kinh doanh,17,,"-2,135,789,000","-1,821,794,000"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-30,011,728,574","10,027,085,407"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-5,410,190,709","-58,860,620,748"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"4,601,747","327,819,541"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-5,405,588,962","-58,532,801,207"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"89,504,054,948","143,161,643,386"
4.Tiền chi trả nợ gốc vay,34,,"-53,590,508,536","-98,900,000,000"
5.Tiền chi trả nợ gốc thuê tài chính,35,,0,0
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,"-9,781,200","-11,960,520,000"
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,037,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"35,903,765,212","32,301,123,386"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"486,447,676","-16,204,592,414"
Tiền và tương đương tiền đầu kỳ,60,,"1,838,430,336","42,021,763,845"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,0,0
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"2,324,878,012","25,817,171,431"
